TipType,TipTemplateId,Notice,zh_CN,en_US,pt_BR,ru_RU,ko_KR,de_DE,fr_FR,es_ES,it_IT,in_ID,th_TH,tr_TR,vi_VN,ja_JP,pl_PL
枚举类型,模板说明,备注,中文,英文,葡萄牙语,俄语,韩语,德语,法语,西语,意大利语,印尼语,泰语,土耳其,越南语,日语,波兰语
1041001,GameName,GameName,小鸟模拟器,Bird Simulator,Simulador de aves,Симулятор птиц,새 시뮬레이터,Vogel Simulator,Simulateur d'oiseau,Simulador de aves,Bird Simulator,Simulator Burung,นกจำลอง,Bird Simulator,Mô phỏng chim,鳥シミュレータ,Symulator ptaków
1041002,,,背包满了,BackPack full,BackPack completo,BackPack полный,전체 백팩,Rucksack voll,Sac à dos plein,BackPack completo,BackPack pieno,BackPack penuh,แบ็คแพ็คเต็ม,BackPack full,BackPack đầy đủ,バックパックがいっぱいです,BackPack pełny
1041003,,,水果不足,not enough fruit,fruta não é suficiente,не хватает фруктов,충분하지 않은 과일,nicht genug Obst,pas assez de fruits,no hay suficiente fruta,non abbastanza frutta,tidak cukup buah,ผลไม้ไม่เพียงพอ,not enough fruit,không đủ trái cây,不十分な果物,Wystarczy owoców
1041004,,,没有携带小鸟,not carrying bird,não carregando pássaro,не несущая птицу,새를 운반하지 않는다.,Vogel nicht tragen,ne portant pas d'oiseau,no lleva pájaro,non portare uccello,tidak membawa burung,ไม่ถือนก,not carrying bird,không mang chim,鳥を運ばない,Nie niosę ptaka
1041005,,,你必须拥有4只小鸟才能通过,you must have 4 birds to pass,você deve ter 4 pássaros para passar,Вы должны пройти 4 птицы,4 마리의 새가 있어야합니다.,"Sie müssen 4 Vögel haben, um durchzugehen",vous devez avoir 4 oiseaux pour passer,debes tener 4 pájaros para pasar,devi passare 4 uccelli,Anda harus memiliki 4 burung untuk dilewati,คุณต้องมี 4 นกที่จะผ่าน,you must have 4 birds to pass,bạn phải có 4 con chim để vượt qua,通過するには4バーディーが必要です,Musisz przejść 4 ptaki
1041006,,,你必须拥有8只小鸟才能通过,you must have 8 birds to pass,você deve ter 8 pássaros para passar,вам нужно пройти 8 птиц,지나가려면 8 마리의 새가 있어야합니다.,"Sie müssen 8 Vögel haben, um durchzugehen",vous devez avoir 8 oiseaux pour passer,debes tener 8 pájaros para pasar,devi passare 8 uccelli,Anda harus memiliki 8 burung untuk dilewati,คุณต้องมีนก 8 ตัวที่จะผ่านได้,you must have 8 birds to pass,bạn phải có 8 con chim để vượt qua,あなたが渡すために8羽の鳥を持っている必要があります,Musisz przejść 8 ptaków
1041007,,,你必须拥有10只小鸟才能通过,you must have 10 birds to pass,você deve ter 10 pássaros para passar,вам нужно пройти 10 птиц,10 마리의 새가 있어야합니다.,"Sie müssen 10 Vögel haben, um durchzugehen",vous devez avoir 10 oiseaux pour passer,debes tener 10 pájaros para pasar,dive avere 10 uccelli da passare,Anda harus memiliki 10 burung untuk dilewati,คุณจะต้องมี 10 นกที่จะผ่าน,you must have 10 birds to pass,bạn phải có 10 con chim để vượt qua,合格するには10個のバーディーが必要です,Musisz mieć 10 ptaków do przejścia
1041008,,,本区域还未开放,this zone is locked,esta zona está bloqueada,эта зона заблокирована,이 구역은 잠겨있다.,Diese Zone ist gesperrt,cette zone est verrouillée,esta zona esta bloqueada,questa zona è bloccata,zona ini terkunci,โซนนี้ถูกล็อค,this zone is locked,vùng này bị khóa,地域はまだ開いていません,Ta strefa jest zablokowana
1041009,,,你必须拥有4只小鸟才能使用,you must have 4 birds to use,você deve ter 4 pássaros para usar,Вы должны использовать 4 птицы,4 마리의 새가 있어야합니다.,Du musst 4 Vögel haben,vous devez avoir 4 oiseaux à utiliser,debes tener 4 pájaros para usar,devi avere 4 uccelli da usare,Anda harus memiliki 4 burung untuk digunakan,คุณต้องมี 4 นกที่จะใช้,you must have 4 birds to use,bạn phải có 4 con chim để sử dụng,4バーディーが必要です,Musisz mieć 4 ptaki do wykorzystania
1041010,,,你必须拥有8只小鸟才能使用,you must have 8 birds to use,você deve ter 8 pássaros para usar,Вы должны использовать 8 птиц,당신은 8 마리의 새들을 사용해야합니다.,Sie müssen 8 Vögel haben,vous devez avoir 8 oiseaux à utiliser,debes tener 8 pájaros para usar,devi avere 8 uccelli da usare,Anda harus memiliki 8 burung untuk digunakan,คุณต้องมีนก 8 ตัวที่จะใช้,you must have 8 birds to use,bạn phải có 8 con chim để sử dụng,あなたは8バーディーを使う必要があります,Musisz mieć 8 ptaków do wykorzystania
1041011,,,你必须拥有10只小鸟才能使用,you must have 10 birds to use,você deve ter 10 pássaros para usar,"Вы должны иметь 10 птиц, чтобы использовать",10 마리의 새를 사용해야합니다.,Du musst 10 Vögel haben,vous devez avoir 10 oiseaux à utiliser,debes tener 10 pájaros para usar,devi avere 10 uccelli da usare,Anda harus memiliki 10 burung untuk digunakan,คุณต้องมีนก 10 ตัวที่จะใช้,you must have 10 birds to use,bạn phải có 10 con chim để sử dụng,あなたは10バーディーを使う必要があります,Musisz mieć 10 ptaków do wykorzystania
1041012,,,一棵%1s在%2s生长,a %1s appears in %2s,uma árvore%1s aparece em%2s,дерево%1s появляется в %2s,나무 %1s 등장하다 in %2s,ein Baum %1s Erscheinen in %2s,un %1s apparaît in %2s,una %1s aparece in %2s,a %1s appare in %2s,a %1s muncul in %2s,ต้นไม้%1s ปรากฏ in %2s,a %1s appears in %2s,một %1s xuất hiện in %2s,木 %1s 現れる in %2s,a %1s appears in %2s
